teste,1,6,11,16,21,26,31,36,41,46,51,56
testePsycho36.csv,5,5,2,2,4,5,2,5,5,5,2,5
testePsycho38.csv,5,4,2,2,4,2,2,2,3,5,2,3
testePsycho31.csv,5,5,5,3,5,5,3,5,5,3,2,1
testePsycho1.csv,5,5,5,2,5,2,2,2,5,4,2,5
testePsycho50.csv,5,5,2,2,5,2,2,2,4,5,2,4
testePsycho40.csv,5,5,2,2,5,2,3,5,5,4,2,5
testePsycho2.csv,5,4,5,2,5,2,2,5,5,4,2,5
testePsycho28.csv,5,5,5,2,5,5,2,5,5,5,2,5
testePsycho16.csv,3,1,5,5,1,1,4,3,4,2,4,5
testePsycho42.csv,5,5,1,3,5,5,3,5,5,5,2,5
testePsycho18.csv,5,5,5,3,5,5,3,5,5,5,2,5
testePsycho13.csv,5,5,2,2,4,2,2,2,4,5,2,5
testePsycho30.csv,5,5,5,2,5,2,2,2,5,5,2,4
testePsycho27.csv,5,5,2,3,5,2,2,2,5,5,1,4
testePsycho17.csv,5,4,3,2,5,3,3,3,5,5,2,3
testePsycho41.csv,5,4,1,2,5,2,1,2,5,5,2,5
testePsycho5.csv,4,4,2,2,4,3,2,2,4,4,2,4
testePsycho35.csv,5,5,2,2,5,5,2,3,5,4,2,5
testePsycho47.csv,3,5,5,3,5,2,1,2,5,5,5,5
testePsycho23.csv,5,4,3,3,4,3,3,3,4,4,2,4
testePsycho33.csv,5,5,2,3,4,2,3,2,4,5,2,5
testePsycho19.csv,5,5,5,3,5,5,5,5,5,5,2,5
testePsycho11.csv,5,5,2,2,4,3,2,2,4,4,2,4
testePsycho48.csv,5,5,5,2,5,3,2,5,5,5,5,5
testePsycho20.csv,5,5,2,3,5,2,2,2,5,4,2,5
testePsycho39.csv,5,5,2,3,5,2,3,2,4,4,2,5
testePsycho32.csv,5,5,5,3,3,2,1,5,5,5,5,5
testePsycho6.csv,5,5,5,3,5,3,3,3,4,5,3,5
testePsycho29.csv,3,5,5,2,5,2,2,5,5,4,2,5
testePsycho34.csv,5,4,5,2,5,5,3,5,5,5,2,5
testePsycho4.csv,5,5,2,2,5,2,2,2,5,4,2,5
testePsycho10.csv,5,5,2,3,5,2,2,5,5,4,2,5
testePsycho7.csv,5,5,5,2,5,3,2,5,1,4,3,5
testePsycho3.csv,5,5,5,2,5,2,1,2,5,3,2,5
testePsycho15.csv,5,5,2,2,5,2,3,2,3,5,2,5
testePsycho12.csv,5,5,5,2,5,2,2,2,4,5,2,3
testePsycho43.csv,5,4,2,3,5,2,2,2,4,5,3,4
testePsycho49.csv,5,5,1,2,4,2,2,2,5,4,2,5
testePsycho37.csv,3,4,2,2,5,2,2,2,5,5,2,5
testePsycho24.csv,5,5,5,3,5,5,5,3,5,5,3,5
testePsycho46.csv,4,5,2,3,4,2,3,2,5,4,2,4
testePsycho45.csv,5,5,5,3,5,5,5,5,5,5,5,5
testePsycho8.csv,5,5,5,2,4,2,2,5,5,4,2,3
testePsycho14.csv,5,5,5,2,5,5,1,5,5,4,3,3
testePsycho44.csv,4,5,2,2,4,2,3,3,4,4,3,5
testePsycho22.csv,5,4,2,2,5,2,2,2,5,5,2,4
testePsycho21.csv,5,5,2,2,5,2,2,2,5,4,5,5
testePsycho26.csv,5,5,5,3,5,5,3,5,5,4,5,5
testePsycho25.csv,5,5,5,3,5,5,5,5,5,4,2,5
testePsycho9.csv,4,5,5,2,5,5,3,5,5,4,3,5
