id,statement,facet,reversed,response
59,"Is temperamental, gets emotional easily.",Emotional Volatility,False,"
Score: 5"
54,"Tends to feel depressed, blue.",Depression,False,"
Score: 4"
42,Is suspicious of others’ intentions.,Trust,True,"
Score: 4"
28,Can be somewhat careless.,Responsibility,True,"
Score: 3"
25,"Avoids intellectual, philosophical discussions.",Intellectual_curiosity,True,"
Score: 1"
57,Assumes the best about people.,Trust,False,"
Score: 5"
14,"Is moody, has up and down mood swings.",Emotional Volatility,False,"
Score: 4"
4,"Is relaxed, handles stress well.",Anxiety,True,"
Score: 5"
13,"Is dependable, steady.",Responsibility,False,"
Score: 5"
33,Keeps things neat and tidy.,Organization,False,"
Score: 5"
1,"Is outgoing, sociable.",Sociability,False,"
Score: 5"
60,"Is original, comes up with new ideas",Creative Imagination,False,"
Score: 5"
11,Rarely feels excited or eager.,Energy level,True,"
Score: 4"
7,"Is respectful, treats others with respect.",Respectfulness,False,"
Score: 5"
30,Has little creativity.,Creative Imagination,True,"
Score: 1"
41,Is full of energy.,Energy level,False,"
Score: 5"
32,Is helpful and unselfish with others.,Compassion,False,"
Score: 5"
17,Feels little sympathy for others.,Compassion,True,"
Score: 1"
31,"Is sometimes shy, introverted.",Sociability,True,"
Score: 4"
6,Has an assertive personality.,Assertiveness,False,"
Score: 5"
23,Has difficulty getting started on tasks.,Productiveness,True,"
Score: 4"
18,"Is systematic, likes to keep things in order.",Organization,False,"
Score: 5"
27,Has a forgiving nature.,Trust,False,"
Score: 5"
35,Values art and beauty.,Aesthetic_Sensitivity,False,"
Score: 5"
2,"Is compassionate, has a soft heart.",Compassion,False,"
Score: 5"
55,Has little interest in abstract ideas.,Intellectual_curiosity,True,"
Score: 1"
49,Rarely feels anxious or afraid.,Anxiety,True,"
Score: 1"
9,Stays optimistic after experiencing a setback.,Depression,True,"
Score: 5"
39,Often feels sad.,Depression,False,"
Score: 4"
51,Prefers to have others take charge.,Assertiveness,True,"
Score: 1"
56,Shows a lot of enthusiasm.,Energy level,False,"
Score: 5"
46,Is talkative.,Sociability,False,"
Score: 5"
40,"Is complex, a deep thinker.",Intellectual_curiosity,False,"
Score: 5"
47,Can be cold and uncaring.,Compassion,True,"
Score: 1"
8,Tends to be lazy.,Productiveness,True,"
Score: 4"
10,Is curious about many different things.,Intellectual_curiosity,False,"
Score: 5"
37,Is sometimes rude to others.,Respectfulness,True,"
Score: 1"
43,"Is reliable, can always be counted on.",Responsibility,False,"
Score: 5"
36,Finds it hard to influence people.,Assertiveness,True,"
Score: 1"
45,Has difficulty imagining things.,Creative Imagination,True,"
Score: 1"
20,"Is fascinated by art, music, or literature.",Aesthetic_Sensitivity,False,"
Score: 5"
38,"Is efficient, gets things done.",Productiveness,False,"
Score: 5"
19,Can be tense.,Anxiety,False,"
Score: 1"
26,Is less active than other people.,Energy level,True,"
Score: 1"
58,Sometimes behaves irresponsibly.,Responsibility,True,"
Score: 1"
29,"Is emotionally stable, not easily upset.",Emotional Volatility,True,"
Score: 5"
53,"Is persistent, works until the task is finished.",Productiveness,False,"
Score: 5"
5,Has few artistic interests.,Aesthetic_Sensitivity,True,"
Score: 1"
48,"Leaves a mess, doesn’t clean up.",Organization,True,"
Score: 1"
21,"Is dominant, acts as a leader.",Assertiveness,False,"
Score: 5"
3,Tends to be disorganized.,Organization,True,"
Score: 1"
22,Starts arguments with others.,Respectfulness,True,"
Score: 1"
44,Keeps their emotions under control.,Emotional Volatility,True,"
Score: 5"
52,"Is polite, courteous to others.",Respectfulness,False,"
Score: 5"
50,Thinks poetry and plays are boring.,Aesthetic_Sensitivity,True,"
Score: 1"
24,"Feels secure, comfortable with self.",Depression,True,"
Score: 5"
16,Tends to be quiet.,Sociability,True,"
Score: 5"
12,Tends to find fault with others.,Trust,True,"
Score: 1"
34,Worries a lot.,Anxiety,False,"
Score: 5"
15,"Is inventive, finds clever ways to do things.",Creative Imagination,False,"
Score: 5"
