id,statement,facet,reversed,response
1,"Is outgoing, sociable.",Sociability,False,4
2,"Is compassionate, has a soft heart.",Compassion,False,5
3,Tends to be disorganized.,Organization,True,1
4,"Is relaxed, handles stress well.",Anxiety,True,5
5,Has few artistic interests.,Aesthetic_Sensitivity,True,2
6,Has an assertive personality.,Assertiveness,False,5
7,"Is respectful, treats others with respect.",Respectfulness,False,5
8,Tends to be lazy.,Productiveness,True,1
9,Stays optimistic after experiencing a setback.,Depression,True,5
10,Is curious about many different things.,Intellectual_curiosity,False,5
11,Rarely feels excited or eager.,Energy level,True,5
12,Tends to find fault with others.,Trust,True,1
13,"Is dependable, steady.",Responsibility,False,5
14,"Is moody, has up and down mood swings.",Emotional Volatility,False,1
15,"Is inventive, finds clever ways to do things.",Creative Imagination,False,4
16,Tends to be quiet.,Sociability,True,5
17,Feels little sympathy for others.,Compassion,True,1
18,"Is systematic, likes to keep things in order.",Organization,False,5
19,Can be tense.,Anxiety,False,5
20,"Is fascinated by art, music, or literature.",Aesthetic_Sensitivity,False,4
21,"Is dominant, acts as a leader.",Assertiveness,False,2
22,Starts arguments with others.,Respectfulness,True,1
23,Has difficulty getting started on tasks.,Productiveness,True,5
24,"Feels secure, comfortable with self.",Depression,True,5
25,"Avoids intellectual, philosophical discussions.",Intellectual_curiosity,True,5
26,Is less active than other people.,Energy level,True,5
27,Has a forgiving nature.,Trust,False,5
28,Can be somewhat careless.,Responsibility,True,5
29,"Is emotionally stable, not easily upset.",Emotional Volatility,True,5
30,Has little creativity.,Creative Imagination,True,5
