id,statement,facet,reversed,response
1,"Is outgoing, sociable.",Sociability,False,1
2,"Is compassionate, has a soft heart.",Compassion,False,2
3,Tends to be disorganized.,Organization,True,3
4,"Is relaxed, handles stress well.",Anxiety,True,4
5,Has few artistic interests.,Aesthetic_Sensitivity,True,5
6,Has an assertive personality.,Assertiveness,False,8
7,"Is respectful, treats others with respect.",Respectfulness,False,9
8,Tends to be lazy.,Productiveness,True,11
9,Stays optimistic after experiencing a setback.,Depression,True,12
10,Is curious about many different things.,Intellectual_curiosity,False,13
11,Rarely feels excited or eager.,Energy level,True,14
12,Tends to find fault with others.,Trust,True,17
13,"Is dependable, steady.",Responsibility,False,18
14,"Is moody, has up and down mood swings.",Emotional Volatility,False,19
15,"Is inventive, finds clever ways to do things.",Creative Imagination,False,20
16,Tends to be quiet.,Sociability,True,21
17,Feels little sympathy for others.,Compassion,True,22
18,"Is systematic, likes to keep things in order.",Organization,False,23
19,Can be tense.,Anxiety,False,24
20,"Is fascinated by art, music, or literature.",Aesthetic_Sensitivity,False,25
21,"Is dominant, acts as a leader.",Assertiveness,False,26
22,Starts arguments with others.,Respectfulness,True,27
23,Has difficulty getting started on tasks.,Productiveness,True,28
24,"Feels secure, comfortable with self.",Depression,True,29
25,"Avoids intellectual, philosophical discussions.",Intellectual_curiosity,True,30
26,Is less active than other people.,Energy level,True,31
27,Has a forgiving nature.,Trust,False,32
28,Can be somewhat careless.,Responsibility,True,33
29,"Is emotionally stable, not easily upset.",Emotional Volatility,True,34
30,Has little creativity.,Creative Imagination,True,35
31,"Is sometimes shy, introverted.",Sociability,True,36
32,Is helpful and unselfish with others.,Compassion,False,37
33,Keeps things neat and tidy.,Organization,False,38
34,Worries a lot.,Anxiety,False,39
35,Values art and beauty.,Aesthetic_Sensitivity,False,40
36,Finds it hard to influence people.,Assertiveness,True,41
37,Is sometimes rude to others.,Respectfulness,True,42
38,"Is efficient, gets things done.",Productiveness,False,43
39,Often feels sad.,Depression,False,44
40,"Is complex, a deep thinker.",Intellectual_curiosity,False,45
41,Is full of energy.,Energy level,False,46
42,Is suspicious of others’ intentions.,Trust,True,47
43,"Is reliable, can always be counted on.",Responsibility,False,48
44,Keeps their emotions under control.,Emotional Volatility,True,49
45,Has difficulty imagining things.,Creative Imagination,True,50
46,Is talkative.,Sociability,False,51
47,Can be cold and uncaring.,Compassion,True,52
48,"Leaves a mess, doesn’t clean up.",Organization,True,53
49,Rarely feels anxious or afraid.,Anxiety,True,54
50,Thinks poetry and plays are boring.,Aesthetic_Sensitivity,True,55
51,Prefers to have others take charge.,Assertiveness,True,56
52,"Is polite, courteous to others.",Respectfulness,False,57
53,"Is persistent, works until the task is finished.",Productiveness,False,58
54,"Tends to feel depressed, blue.",Depression,False,59
55,Has little interest in abstract ideas.,Intellectual_curiosity,True,
56,Shows a lot of enthusiasm.,Energy level,False,
57,Assumes the best about people.,Trust,False,
58,Sometimes behaves irresponsibly.,Responsibility,True,
59,"Is temperamental, gets emotional easily.",Emotional Volatility,False,
60,"Is original, comes up with new ideas",Creative Imagination,False,
